Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
3800       585.34         -4.95            -21.84        295.7              14.77
3810       584.60         -4.95            -21.90        299.1              15.02
3820       583.86         -4.98            -22.04        302.1              15.11
3830       583.12         -5.02            -22.23        305.1              15.12
3840       582.38         -5.08            -22.46        308.0              15.11
3850       581.65         -5.12            -22.64        309.2              15.18
3860       580.91         -5.15            -22.78        309.8              15.13
3870       580.18         -5.17            -22.91        310.2              15.22
3880       579.44         -5.18            -23.02        310.7              15.51
3890       578.71         -5.17            -23.13        311.0              15.83
3900       577.98         -5.14            -23.28        310.1              15.71
3910       577.25         -5.12            -23.41        309.3              15.47
3920       576.51         -5.11            -23.58        309.4              15.31
3930       575.79         -5.10            -23.75        309.3              15.48
3940       575.06         -5.08            -23.98        310.4              15.90
3950       574.33         -5.06            -24.33        311.5              16.18
3960       573.60         -5.06            -24.68        313.7              16.50
3970       572.88         -5.07            -25.07        314.8              16.64
3980       572.15         -5.07            -25.36        314.6              16.75
3990       571.43         -5.05            -25.63        314.1              16.95
4000       570.67         -5.04            -25.77        312.8              17.04
4010       569.95         -5.02            -25.75        312.3              16.94
4020       569.23         -5.01            -25.58        311.1              16.92
4030       568.51         -5.00            -25.26        311.2              16.52
4040       567.79         -5.03            -24.90        311.1              15.68
4050       567.07         -5.05            -24.60        310.9              14.86
4060       566.35         -5.08            -24.16        311.9              14.29
4070       565.63         -5.11            -23.83        312.5              14.09
4080       564.91         -5.14            -23.42        314.4              13.81
4090       564.20         -5.21            -22.87        316.2              13.58
4100       563.48         -5.25            -22.60        317.4              13.54
4110       562.77         -5.32            -22.28        318.7              13.68
4120       562.05         -5.40            -21.88        319.4              14.09
4130       561.34         -5.49            -21.40        319.5              14.68
4140       560.63         -5.58            -20.94        319.5              15.18
4150       559.92         -5.68            -20.51        319.5              15.73
4160       559.20         -5.77            -20.10        319.5              16.28
4170       558.49         -5.86            -19.70        319.6              16.83
4180       557.78         -5.95            -19.33        319.6              17.38
4190       557.08         -6.04            -18.97        319.6              17.93
4200       556.37         -6.10            -18.60        315.8              17.96
4210       555.66         -6.15            -18.23        310.4              17.76
4220       554.95         -6.20            -17.88        305.0              17.57
4230       554.25         -6.26            -17.66        304.1              17.88
4240       553.54         -6.35            -17.61        308.6              18.24
4250       552.84         -6.48            -17.57        312.4              18.26
4260       552.13         -6.61            -17.48        315.5              18.40
4270       551.43         -6.71            -17.39        317.8              18.44
4280       550.73         -6.79            -17.29        318.8              18.57
4290       550.03         -6.83            -17.15        318.1              18.55
4300       549.33         -6.86            -17.04        317.6              18.57
4310       548.63         -6.85            -16.85        315.8              18.80
4320       547.93         -6.84            -16.63        313.9              18.89
4330       547.23         -6.83            -16.44        312.0              19.00
4340       546.53         -6.82            -16.32        310.1              19.02
4350       545.83         -6.85            -16.23        310.5              19.19
4360       545.14         -6.90            -16.18        312.4              19.37
4370       544.44         -6.98            -16.13        315.0              19.52
4380       543.75         -7.05            -16.10        316.1              19.55
4390       543.05         -7.12            -16.07        315.7              19.62
4400       542.36         -7.17            -16.04        313.5              19.63
4410       541.67         -7.23            -15.99        310.3              19.47
4420       540.98         -7.28            -15.94        306.9              19.50
4430       540.29         -7.32            -15.89        304.9              19.60
4440       539.60         -7.42            -15.87        305.8              19.64
4450       538.91         -7.52            -15.88        308.1              19.56
4460       538.22         -7.63            -15.91        310.8              19.63
4470       537.53         -7.75            -15.94        312.1              19.61
4480       536.84         -7.85            -15.94        312.9              19.60
4490       536.15         -7.92            -15.92        312.5              19.80
4500       535.47         -7.97            -15.86        311.4              19.94
4510       534.78         -7.97            -15.78        310.1              20.26
4520       534.10         -7.98            -15.69        309.4              20.56
4530       533.42         -8.00            -15.62        308.9              20.72
